Member_number,Date,itemDescription
1226,13-04-2015,Spinz BB Cream
1395,07-03-2015,Spinz Talc - Exotic
2465,07-06-2015,Spinz BB Talc
3572,09-07-2015,Indica Crème 
4387,08-05-2015,Ruchi- Vadu Mango
1555,27-03-2015,Nyle Damage Repair
1181,16-11-2015,Nyle Anti- Dandruff
2814,11-05-2015,Nyle Dryness Hydration
2794,16-09-2015,Nyle Volume Enhance
2912,28-01-2015,Nyle Pollution Sheild
4667,12-01-2015,Nyle Damage Repair
2235,25-10-2015,Spinz BB Cream
2353,02-05-2015,Spinz Talc - Exotic
3449,08-03-2015,Indica Easy - Brown
1058,10-11-2015,Chik - Thick & Glossy Shampoo
1027,17-05-2015,Maa Mango
3302,22-05-2015,Maa Apple
2229,30-05-2015,Maa - Mango
2188,15-08-2015,Maa Lemon
1547,18-04-2015,Maa Orange 
1649,30-06-2015,Maa Mango
3254,10-09-2015,Fremon
2818,07-11-2015,Joozy Cola
2703,08-05-2015,Runge
3332,31-01-2015,Chillout
2473,01-07-2015,Ruchi- Maharastra Mango Pickle
2810,30-12-2015,Bhima- Cut Mango
1033,22-04-2015,Cavin’s Mango Lassi
4222,27-05-2015,Cavin's Lassi
3679,21-09-2015,Chik - Anti Dandruff Shamphoo
2212,27-08-2015,Cavin's Buttermilk
1507,22-06-2015,Bhima- Cut Mango
2870,21-01-2015,Roasted Nylon Chivda
3429,26-04-2015,Moong Dal
4148,09-04-2015,Bhima- Red Chilli
2970,30-12-2015,Spinz Deo - Yellow Blossom
2013,30-08-2015,Bhima- Cut Mango
3967,30-05-2015,Bhima- Cut Mango
2885,15-05-2015,Manglori Mixture
3935,02-07-2015,Garden French Fries
3283,01-05-2015,Garden Instant bhel mix
3268,06-11-2015,Cavin's Kaju Butterscotch Milkshake
3677,30-04-2015,Bhima- Cut Mango
3495,27-06-2015,Bhima- Mixed Veg
1410,04-10-2015,Cavin's Lassi
2440,06-06-2015,Cavin's Stawberry Lassi
4088,13-01-2015,Cavin's Vanilla Milshake
2469,23-09-2015,Cavin's Buttermilk
4229,06-03-2015,Cavin's Lassi
2728,02-08-2015,Cavin's Chocolate Milkshake 
4694,25-01-2015,Cavin's Stawberry Lassi
2836,29-12-2015,Cavin's Kaju Butterscotch Milkshake
1311,12-02-2015,Bhima- Cut Mango
1760,23-01-2015,Bhima- Mixed Veg
3656,02-03-2015,Bhima- Lime
3720,28-05-2015,Bhima- Mango Thokku
2996,26-09-2015,Cocoma
1949,22-07-2015,Spinz Deo - Enchante
4498,11-02-2015,Spinz BB Cream
2447,28-12-2015,Spinz Talc - Exotic
1952,23-03-2015,Spinz BB Talc
4099,27-01-2015,Indica Crème 
1804,12-03-2015,Ruchi- Vadu Mango
1510,16-05-2015,Nyle Damage Repair
2879,18-04-2015,Nyle Anti- Dandruff
4899,12-03-2015,Nyle Dryness Hydration
4326,29-09-2015,Cavin's Chocolate Milkshake 
1670,17-05-2015,Cavin's Stawberry Lassi
1117,24-05-2015,Cavin's Kaju Butterscotch Milkshake
1346,03-04-2015,Bhima- Cut Mango
1178,15-11-2015,Bhima- Mixed Veg
1649,25-06-2015,Bhima- Lime
4651,21-06-2015,Bhima- Mango Thokku
4243,02-04-2015,Bhima- Red Chilli
4429,21-07-2015,Roasted Nylon Chivda
4645,25-07-2015,Khatta Meetha
4019,24-07-2015,Moong Dal
4459,26-04-2015,Manglori Mixture
3006,27-12-2015,Bhima- Mixed Veg
1834,17-09-2015,Bhima- Lime
3236,04-07-2015,Bhima- Mango Thokku
1765,11-03-2015,Bhima- Red Chilli
3855,09-03-2015,Spinz BB Cream
4392,28-11-2015,Spinz Talc - Exotic
3330,26-07-2015,Spinz BB Talc
1723,02-09-2015,Indica Crème 
4110,30-03-2015,Ruchi- Vadu Mango
2600,28-01-2015,Nyle Damage Repair
2946,07-10-2015,Nyle Anti- Dandruff
2426,08-09-2015,Nyle Dryness Hydration
4170,03-05-2015,Nyle Volume Enhance
1109,06-04-2015,Nyle Pollution Sheild
3429,04-01-2015,Nyle Damage Repair
2055,04-02-2015,Spinz BB Cream
2480,20-09-2015,Spinz Talc - Exotic
2441,30-05-2015,Indica Easy - Brown
1054,04-10-2015,Chik - Thick & Glossy Shampoo
4818,11-01-2015,Maa Mango
3379,21-01-2015,Maa Apple
3939,10-02-2015,Maa - Mango
1367,05-08-2015,Maa Lemon
1043,10-01-2015,Maa Orange 
2231,17-10-2015,Maa Mango
3235,28-12-2015,Fremon
4554,16-07-2015,Joozy Cola
3245,24-01-2015,Runge
2996,19-05-2015,Chillout
2507,05-01-2015,Ruchi- Maharastra Mango Pickle
4186,25-10-2015,Bhima- Cut Mango
3929,28-04-2015,Cavin’s Mango Lassi
3760,22-11-2015,Cavin's Lassi
4928,18-08-2015,Chik - Anti Dandruff Shamphoo
4217,18-12-2015,Cavin's Buttermilk
1174,11-02-2015,Bhima- Cut Mango
4103,19-06-2015,Roasted Nylon Chivda
4408,13-03-2015,Moong Dal
2588,28-12-2015,Bhima- Red Chilli
2598,11-11-2015,Spinz Deo - Yellow Blossom
1518,11-12-2015,Bhima- Cut Mango
2702,08-04-2015,Bhima- Cut Mango
1001,20-01-2015,Manglori Mixture
2270,30-09-2015,Garden French Fries
2838,10-11-2015,Garden Instant bhel mix
1683,26-05-2015,Cavin's Kaju Butterscotch Milkshake
4040,03-04-2015,Bhima- Cut Mango
3897,23-08-2015,Bhima- Mixed Veg
2200,11-03-2015,Cavin's Lassi
4073,29-01-2015,Cavin's Stawberry Lassi
3700,19-04-2015,Cavin's Vanilla Milshake
3973,10-06-2015,Cavin's Buttermilk
2715,06-07-2015,Cavin's Lassi
3967,23-11-2015,Cavin's Chocolate Milkshake 
4002,03-09-2015,Cavin's Stawberry Lassi
2962,01-03-2015,Cavin's Kaju Butterscotch Milkshake
4340,25-12-2015,Bhima- Cut Mango
2092,06-11-2015,Bhima- Mixed Veg
3143,24-05-2015,Bhima- Lime
2209,03-10-2015,Bhima- Mango Thokku
2816,22-08-2015,Cocoma
2659,01-06-2015,Spinz Deo - Enchante
1588,13-10-2015,Spinz BB Cream
1144,15-10-2015,Spinz Talc - Exotic
2166,10-12-2015,Spinz BB Talc
3300,06-10-2015,Indica Crème 
3944,03-01-2015,Ruchi- Vadu Mango
4979,24-04-2015,Nyle Damage Repair
2630,21-01-2015,Nyle Anti- Dandruff
4240,29-04-2015,Nyle Dryness Hydration
2357,08-07-2015,Cavin's Chocolate Milkshake 
1743,18-04-2015,Cavin's Stawberry Lassi
2331,15-02-2015,Cavin's Kaju Butterscotch Milkshake
1643,28-04-2015,Bhima- Cut Mango
1291,20-03-2015,Bhima- Mixed Veg
3675,04-07-2015,Bhima- Lime
4134,06-11-2015,Bhima- Mango Thokku
1363,21-06-2015,Bhima- Red Chilli
4212,01-05-2015,Roasted Nylon Chivda
1500,21-03-2015,Khatta Meetha
2622,01-10-2015,Moong Dal
3543,18-03-2015,Manglori Mixture
2525,24-05-2015,Bhima- Mixed Veg
1264,12-10-2015,Bhima- Lime
3601,06-07-2015,Bhima- Mango Thokku
1771,23-03-2015,Bhima- Red Chilli
4694,06-02-2015,Roasted Nylon Chivda
1122,21-12-2015,Khatta Meetha
3507,12-08-2015,Moong Dal
4524,26-04-2015,Manglori Mixture
3612,27-09-2015,Garden French Fries
3262,11-06-2015,Garden Instant bhel mix
1897,25-01-2015,Garden Bombay Puri
1656,30-10-2015,Garden Potato Chip
3953,10-01-2015,Ruchi- Maharastra Mango Pickle
1488,21-06-2015,Ruchi- Maharastra lime Pickle
1652,17-03-2015,Ruchi - Andhra Tomato
4953,16-09-2015,Ruchi- Brinjal
3445,30-04-2015,Ruchi- Red Chilli
3180,15-03-2015,Ruchi- Tomato Garlic
4934,06-09-2015,Ruchi- Vadu Mango
2980,27-04-2015,Spinz Deo - Mystic White
2763,13-02-2015,Spinz Deo - Enchante
4819,04-03-2015,Spinz BB Cream
3169,02-07-2015,Spinz Talc - Exotic
1850,11-03-2015,Spinz BB Talc
4285,29-12-2015,Indica Crème 
4366,13-08-2015,Ruchi- Vadu Mango
2253,16-06-2015,Nyle Damage Repair
3398,11-03-2015,Nyle Anti- Dandruff
2215,22-07-2015,Nyle Dryness Hydration
3737,03-03-2015,Nyle Volume Enhance
2649,28-11-2015,Nyle Pollution Sheild
3203,07-08-2015,Nyle Damage Repair
4261,16-02-2015,Spinz BB Cream
2435,17-07-2015,Spinz Talc - Exotic
2046,21-08-2015,Indica Easy - Brown
4267,11-02-2015,Chik - Thick & Glossy Shampoo
1086,28-12-2015,Maa Mango
1992,04-01-2015,Maa Apple
3622,26-07-2015,Maa - Mango
4700,27-06-2015,Maa Lemon
2272,16-05-2015,Maa Orange 
1663,19-05-2015,Maa Mango
2519,03-06-2015,Fremon
2639,30-10-2015,Joozy Cola
1466,19-04-2015,Cavin’s Mango Lassi
4122,23-10-2015,Cavin's Stawberry Lassi
3598,15-04-2015,Cavin's Vanilla Milshake
3097,10-08-2015,Cavin's Buttermilk
1873,19-09-2015,Cavin's Lassi
1537,01-02-2015,Cavin's Chocolate Milkshake 
3960,25-03-2015,Cavin's Stawberry Lassi
1136,15-06-2015,Cavin's Kaju Butterscotch Milkshake
2453,21-12-2015,Bhima- Cut Mango
1746,15-02-2015,Bhima- Mixed Veg
3572,09-06-2015,Bhima- Lime
3246,24-06-2015,Bhima- Mango Thokku
3207,26-11-2015,Bhima- Red Chilli
1042,12-02-2015,Ruchi - Andhra Tomato
1176,30-03-2015,Ruchi- Brinjal
3054,23-02-2015,Ruchi- Red Chilli
4486,02-12-2015,Ruchi- Tomato Garlic
1580,05-12-2015,Ruchi- Vadu Mango
1623,02-11-2015,Ruchi- Vadu Mango
4169,24-11-2015,Nyle Damage Repair
2254,24-01-2015,Nyle Anti- Dandruff
4095,01-11-2015,Nyle Dryness Hydration
1264,17-11-2015,Nyle Volume Enhance
3375,06-01-2015,Nyle Pollution Sheild
3242,23-05-2015,Nyle Damage Repair
2227,07-06-2015,Spinz BB Cream
3847,03-12-2015,Spinz Talc - Exotic
3897,31-05-2015,Indica Easy - Brown
1799,27-09-2015,Chik - Thick & Glossy Shampoo
2920,26-04-2015,Maa Mango
3713,31-01-2015,Maa Apple
4230,05-11-2015,Maa - Mango
1455,18-03-2015,Maa Lemon
3687,18-03-2015,Maa Orange 
3869,01-08-2015,Maa Mango
2988,14-10-2015,Fremon
4242,30-03-2015,Joozy Cola
4118,24-12-2015,Runge
4996,24-10-2015,Chillout
4489,04-03-2015,Ruchi- Maharastra Mango Pickle
1199,09-11-2015,Bhima- Cut Mango
4108,12-05-2015,Cavin’s Mango Lassi
3484,05-06-2015,Cavin's Lassi
1239,31-08-2015,Cavin's Vanilla Milshake
4839,19-12-2015,Cavin's Buttermilk
4748,07-05-2015,Cavin's Lassi
4426,06-06-2015,Cavin's Chocolate Milkshake 
3571,11-12-2015,Cavin's Stawberry Lassi
2852,08-06-2015,Cavin's Kaju Butterscotch Milkshake
3638,26-05-2015,Bhima- Cut Mango
3635,10-03-2015,Cavin’s Cold Coffee-Chilled Latte
2723,07-05-2015,Cavin’s Mango Lassi
3495,11-03-2015,Cavin's Stawberry Lassi
2813,16-11-2015,Cavin's Vanilla Milshake
2799,02-09-2015,Cavin's Buttermilk
4723,22-05-2015,Cavin's Lassi
3313,08-04-2015,Cavin's Chocolate Milkshake 
4748,15-12-2015,Cavin's Stawberry Lassi
2991,16-02-2015,Cavin's Kaju Butterscotch Milkshake
1483,01-04-2015,Bhima- Cut Mango
3950,01-10-2015,Bhima- Mixed Veg
1634,16-01-2015,Bhima- Lime
2694,21-11-2015,Bhima- Mango Thokku
2707,18-10-2015,Bhima- Red Chilli
2813,16-07-2015,Roasted Nylon Chivda
2276,11-01-2015,Khatta Meetha
4726,06-02-2015,Moong Dal
4353,25-05-2015,Manglori Mixture
4017,13-08-2015,Garden French Fries
1422,21-08-2015,Garden Instant bhel mix
2714,15-03-2015,Garden Bombay Puri
2769,21-07-2015,Garden Potato Chip
4166,30-04-2015,Ruchi- Maharastra Mango Pickle
3614,02-03-2015,Ruchi- Maharastra lime Pickle
4361,05-09-2015,Ruchi - Andhra Tomato
1922,22-09-2015,Ruchi- Brinjal
4728,06-09-2015,Ruchi- Red Chilli
3646,08-08-2015,Ruchi- Tomato Garlic
1155,10-08-2015,Ruchi- Vadu Mango
2119,11-06-2015,Chik - Long & Healthy Shampoo
1602,29-08-2015,Chik - Hairfall Prevent Shampoo
1074,24-06-2015,Chik - Thick & Glossy Shampoo
2256,11-04-2015,Chik - Anti Dandruff Shamphoo
1348,17-09-2015,Chik - Thick & Glossy Shampoo
3806,28-08-2015,Indica Easy Hair Colour
1711,06-06-2015,Indica Herbal Hair Colour
3959,12-04-2015,Indica Crème 
1590,15-08-2015,Indica Easy - Brown
1962,08-06-2015,Indica Herbal Hair Colour
1766,21-01-2015,Spinz Deo - Pristine Green
2551,21-10-2015,Spinz Deo - Blue Bounce
2294,23-09-2015,Spinz Deo - Yellow Blossom
4531,29-05-2015,Spinz Deo - Mystic White
2957,12-04-2015,Spinz Deo - Enchante
4415,27-01-2015,Spinz BB Cream
1476,26-08-2015,Spinz Talc - Exotic
3978,23-07-2015,Spinz BB Talc
2062,22-09-2015,Indica Crème 
3252,28-06-2015,Ruchi- Vadu Mango
3922,24-06-2015,Nyle Damage Repair
1491,17-10-2015,Nyle Anti- Dandruff
3526,26-08-2015,Nyle Dryness Hydration
4060,11-12-2015,Nyle Volume Enhance
1067,08-04-2015,Nyle Pollution Sheild
2840,27-01-2015,Nyle Damage Repair
4484,27-11-2015,Spinz BB Cream
2353,07-02-2015,Bhima- Mixed Veg
3130,18-02-2015,Bhima- Lime
4273,14-06-2015,Bhima- Mango Thokku
4565,30-12-2015,Bhima- Red Chilli
2504,14-08-2015,Roasted Nylon Chivda
4127,23-10-2015,Khatta Meetha
2690,01-04-2015,Bhima- Cut Mango
4129,22-09-2015,Cavin’s Cold Coffee-Chilled Latte
4511,29-06-2015,Cavin’s Mango Lassi
1602,04-08-2015,Cavin's Stawberry Lassi
4369,01-02-2015,Cavin's Vanilla Milshake
1302,29-09-2015,Cavin's Buttermilk
3326,30-04-2015,Cavin's Lassi
2066,21-05-2015,Cavin's Chocolate Milkshake 
3483,15-01-2015,Cavin's Stawberry Lassi
2840,12-02-2015,Cavin's Kaju Butterscotch Milkshake
1807,18-05-2015,Bhima- Cut Mango
2067,12-08-2015,Bhima- Mixed Veg
3783,17-02-2015,Bhima- Lime
2884,04-01-2015,Bhima- Mango Thokku
2908,15-03-2015,Bhima- Red Chilli
1330,10-07-2015,Roasted Nylon Chivda
2293,08-05-2015,Khatta Meetha
3718,20-05-2015,Moong Dal
4338,25-01-2015,Manglori Mixture
3486,08-11-2015,Garden French Fries
3635,04-09-2015,Garden Instant bhel mix
2857,18-02-2015,Garden Bombay Puri
3684,13-08-2015,Garden Potato Chip
3120,20-10-2015,Ruchi- Maharastra Mango Pickle
3872,19-03-2015,Ruchi- Maharastra lime Pickle
2777,07-04-2015,Bhima- Mixed Veg
2702,27-05-2015,Bhima- Lime
4796,29-06-2015,Bhima- Mango Thokku
1564,23-10-2015,Bhima- Red Chilli
2740,02-07-2015,Roasted Nylon Chivda
1833,13-04-2015,Khatta Meetha
1757,23-12-2015,Moong Dal
2975,24-10-2015,Manglori Mixture
4032,10-08-2015,Garden French Fries
3979,16-09-2015,Garden Instant bhel mix
3772,09-03-2015,Garden Bombay Puri
4523,28-10-2015,Garden Potato Chip
4004,19-04-2015,Ruchi- Maharastra Mango Pickle
2936,08-06-2015,Ruchi- Maharastra lime Pickle
2394,21-06-2015,Ruchi - Andhra Tomato
4616,16-08-2015,Ruchi- Brinjal
2362,08-07-2015,Ruchi- Red Chilli
3593,03-11-2015,Ruchi- Tomato Garlic
4389,27-08-2015,Ruchi- Vadu Mango
3206,11-08-2015,Chik - Long & Healthy Shampoo
4601,04-01-2015,Chik - Hairfall Prevent Shampoo
4382,13-11-2015,Chik - Thick & Glossy Shampoo
2718,08-06-2015,Chik - Anti Dandruff Shamphoo
4691,12-10-2015,Chik - Thick & Glossy Shampoo
3735,28-11-2015,Indica Easy Hair Colour
3900,20-12-2015,Indica Herbal Hair Colour
4959,30-06-2015,Indica Crème 
1815,30-08-2015,Indica Easy - Brown
2454,08-04-2015,Indica Herbal Hair Colour
4778,15-01-2015,Spinz Deo - Pristine Green
2289,04-11-2015,Spinz Deo - Blue Bounce
1734,13-07-2015,Spinz Deo - Y+B43:B61ellow Blossom
4019,05-02-2015,Spinz Deo - Mystic White
4605,28-05-2015,Spinz Deo - Enchante
4864,14-11-2015,Spinz BB Cream
4205,22-02-2015,Spinz Talc - Exotic
1862,03-08-2015,Spinz BB Talc
1846,19-07-2015,Indica Crème 
2019,28-05-2015,Ruchi- Vadu Mango
2042,19-11-2015,Nyle Damage Repair
